"","country","code","Gender","Age","Household.Income","mean_rating"
"1","Algeria","DZA","Female","> 60","$0 - $24,999",3
"2","Algeria","DZA","Female","> 60","$100,000 - $149,999",2
"3","Algeria","DZA","Female","> 60","$150,000+",3.5
"4","Algeria","DZA","Female","> 60","$25,000 - $49,999",2.85714285714286
"5","Algeria","DZA","Female","> 60","$50,000 - $99,999",3.375
"6","Algeria","DZA","Female","> 60",NA,3.57142857142857
"7","Algeria","DZA","Female","18-29","$0 - $24,999",3.4
"8","Algeria","DZA","Female","18-29","$100,000 - $149,999",NA
"9","Algeria","DZA","Female","18-29","$150,000+",3
"10","Algeria","DZA","Female","18-29","$25,000 - $49,999",3.33333333333333
"11","Algeria","DZA","Female","18-29","$50,000 - $99,999",2.5
"12","Algeria","DZA","Female","18-29",NA,3.5
"13","Algeria","DZA","Female","30-44","$0 - $24,999",4.25
"14","Algeria","DZA","Female","30-44","$100,000 - $149,999",3
"15","Algeria","DZA","Female","30-44","$150,000+",2
"16","Algeria","DZA","Female","30-44","$25,000 - $49,999",2.66666666666667
"17","Algeria","DZA","Female","30-44","$50,000 - $99,999",3
"18","Algeria","DZA","Female","30-44",NA,3.66666666666667
"19","Algeria","DZA","Female","45-60","$0 - $24,999",2
"20","Algeria","DZA","Female","45-60","$100,000 - $149,999",3.33333333333333
"21","Algeria","DZA","Female","45-60","$150,000+",2.66666666666667
"22","Algeria","DZA","Female","45-60","$25,000 - $49,999",4
"23","Algeria","DZA","Female","45-60","$50,000 - $99,999",3
"24","Algeria","DZA","Female","45-60",NA,2.85714285714286
"25","Algeria","DZA","Male","> 60","$0 - $24,999",3
"26","Algeria","DZA","Male","> 60","$100,000 - $149,999",3.25
"27","Algeria","DZA","Male","> 60","$150,000+",3
"28","Algeria","DZA","Male","> 60","$25,000 - $49,999",2.33333333333333
"29","Algeria","DZA","Male","> 60","$50,000 - $99,999",2.81818181818182
"30","Algeria","DZA","Male","> 60",NA,2.8
"31","Algeria","DZA","Male","18-29","$0 - $24,999",3.14285714285714
"32","Algeria","DZA","Male","18-29","$100,000 - $149,999",2
"33","Algeria","DZA","Male","18-29","$150,000+",3.5
"34","Algeria","DZA","Male","18-29","$25,000 - $49,999",2.8
"35","Algeria","DZA","Male","18-29","$50,000 - $99,999",2.75
"36","Algeria","DZA","Male","18-29",NA,4
"37","Algeria","DZA","Male","30-44","$0 - $24,999",NA
"38","Algeria","DZA","Male","30-44","$100,000 - $149,999",3
"39","Algeria","DZA","Male","30-44","$150,000+",3
"40","Algeria","DZA","Male","30-44","$25,000 - $49,999",3.75
"41","Algeria","DZA","Male","30-44","$50,000 - $99,999",3.125
"42","Algeria","DZA","Male","30-44",NA,3.33333333333333
"43","Algeria","DZA","Male","45-60","$0 - $24,999",3
"44","Algeria","DZA","Male","45-60","$100,000 - $149,999",3.14285714285714
"45","Algeria","DZA","Male","45-60","$150,000+",2.625
"46","Algeria","DZA","Male","45-60","$25,000 - $49,999",2.42857142857143
"47","Algeria","DZA","Male","45-60","$50,000 - $99,999",3
"48","Algeria","DZA","Male","45-60",NA,2.83333333333333
"49","Argentina","ARG","Female","> 60","$0 - $24,999",3
"50","Argentina","ARG","Female","> 60","$100,000 - $149,999",3.4
"51","Argentina","ARG","Female","> 60","$150,000+",3.5
"52","Argentina","ARG","Female","> 60","$25,000 - $49,999",3.5
"53","Argentina","ARG","Female","> 60","$50,000 - $99,999",3.45
"54","Argentina","ARG","Female","> 60",NA,3.42857142857143
"55","Argentina","ARG","Female","18-29","$0 - $24,999",3.57142857142857
